pet_id,pet_type,breed,age_years,weight_lbs,gender,county,is_urban,owner_age,household_type,annual_income,housing_type,is_registered,registration_date,is_vaccinated,last_vet_visit,acquisition_method,is_spayed_neutered,has_microchip,annual_vet_spending
MN_D000001,Dog,Boxer,6.6,21.0,Male,Nicollet,False,74,Single,50724,Farmhouse,True,2023-12-10,True,2024-11-19,Breeder,True,True,1098.99
MN_D000002,Dog,Chihuahua,3.5,6.4,Female,Dakota,True,40,Couple,122411,Apartment,True,2024-05-19,True,2024-07-16,Breeder,True,False,1830.32
MN_C000003,Cat,Russian Blue,0.6,7.8,Female,Goodhue,False,30,Single,33786,Mobile Home,True,2024-01-23,True,2024-08-21,Shelter,True,False,404.77
MN_C000004,Cat,Norwegian Forest Cat,12.3,7.3,Female,McLeod,False,59,Single,41639,House,True,2023-02-22,True,2023-05-07,Shelter,True,True,456.52
MN_D000005,Dog,Dachshund,6.4,56.6,Male,Hennepin,True,55,Senior,83411,House,False,,False,2024-09-15,Breeder,True,False,1405.93
MN_C000006,Cat,Ragdoll,10.3,6.9,Female,Washington,True,40,Family with Children,36880,Apartment,True,2023-07-26,True,2024-12-27,Breeder,True,True,559.95
MN_D000007,Dog,Poodle,1.6,74.6,Female,Anoka,True,34,Senior,132426,House,True,2024-07-27,True,2023-12-28,Shelter,True,False,2712.8
MN_D000008,Dog,Rottweiler,10.0,87.7,Male,Goodhue,False,22,Senior,20000,House,True,2024-11-14,True,2024-11-28,Breeder,True,False,354.95
MN_D000009,Dog,Border Collie,1.7,6.6,Male,Ramsey,True,41,Roommates,47166,Apartment,True,2024-09-29,True,2024-09-01,Friend/Family,True,True,735.85
MN_C000010,Cat,Birman,7.8,11.1,Female,Hennepin,True,41,Family with Children,35848,Apartment,True,2024-02-07,True,2024-03-08,Shelter,True,False,362.97
MN_D000011,Dog,Yorkshire Terrier,1.1,5.7,Male,Anoka,True,37,Family with Children,35188,Apartment,False,,True,2024-11-07,Friend/Family,False,False,703.22
MN_C000012,Cat,Russian Blue,2.4,11.6,Female,Hennepin,True,46,Couple,90158,Apartment,False,,False,2024-11-01,Shelter,True,False,1850.2
MN_C000013,Cat,Persian,1.7,13.5,Female,Hennepin,True,29,Family with Children,36401,House,True,2024-04-14,True,2024-11-11,Friend/Family,True,False,608.5
MN_C000014,Cat,Norwegian Forest Cat,5.2,12.6,Female,Sherburne,False,47,Family with Children,25827,Mobile Home,False,,False,2024-10-09,Breeder,False,False,358.2
MN_C000015,Cat,Domestic Shorthair,0.9,7.2,Male,Polk,False,33,Couple,49103,Mobile Home,False,,True,2024-12-13,Shelter,False,True,405.5
MN_D000016,Dog,Chihuahua,8.1,9.3,Male,Aitkin,False,31,Couple,57077,Farmhouse,False,,True,2024-08-28,Shelter,True,False,1065.42
MN_C000017,Cat,British Shorthair,0.6,5.3,Male,Cottonwood,False,72,Single,140360,House,True,2023-12-08,True,2024-12-24,Shelter,True,True,961.93
MN_C000018,Cat,Scottish Fold,4.9,17.2,Male,Ramsey,True,69,Single,30588,House,True,2024-04-18,False,2024-02-10,Shelter,True,True,202.01
MN_D000019,Dog,Shih Tzu,1.3,48.7,Male,Hennepin,True,50,Family with Children,169973,House,True,2024-10-17,True,2024-12-08,Shelter,True,True,3271.37
MN_D000020,Dog,Poodle,3.1,44.6,Male,Steele,False,28,Single,126905,House,False,,False,2024-11-07,Breeder,False,False,1748.49
MN_D000021,Dog,Shih Tzu,0.8,41.0,Female,Olmsted,False,42,Family with Children,59787,House,True,2024-11-21,True,2024-07-07,Friend/Family,True,True,1303.94
MN_D000022,Dog,Pomeranian,0.6,8.8,Male,Hennepin,True,32,Family with Children,127999,Apartment,True,2023-07-15,True,2024-10-15,Friend/Family,True,True,1525.77
MN_C000023,Cat,Siamese,6.7,4.6,Male,Washington,True,23,Couple,64380,Apartment,True,2023-10-06,True,2024-12-12,Friend/Family,True,False,1065.32
MN_D000024,Dog,Chihuahua,0.7,9.2,Male,Faribault,False,40,Roommates,114782,House,True,2023-01-25,True,2024-11-18,Friend/Family,False,True,2528.04
MN_C000025,Cat,Norwegian Forest Cat,4.1,12.9,Male,Roseau,False,39,Family with Children,46151,Farmhouse,True,2023-06-17,True,2024-02-25,Shelter,True,True,567.73
MN_C000026,Cat,Domestic Shorthair,10.1,10.9,Male,Dakota,True,39,Family with Children,41072,House,True,2023-04-01,True,2024-10-20,Shelter,True,True,462.3
MN_D000027,Dog,Yorkshire Terrier,1.0,11.8,Male,Saint Louis,False,53,Single,33523,House,True,2023-04-27,False,2024-12-29,Friend/Family,True,False,256.49
MN_D000028,Dog,Poodle,1.7,35.6,Male,Waseca,False,45,Family with Children,35549,House,True,2024-10-17,True,2023-10-14,Friend/Family,True,True,993.76
MN_D000029,Dog,Bulldog,3.0,65.7,Female,Ramsey,True,18,Single,50042,Apartment,True,2024-12-24,True,2024-11-05,Breeder,True,False,486.6
MN_D000030,Dog,Golden Retriever,0.8,47.8,Male,Washington,True,57,Single,106089,Townhouse,True,2023-10-09,True,2023-04-11,Shelter,True,True,1474.57
